date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-28,4,1,4,2,5,13,40
2026-07-29,3,1,7,5,6,19,169
2026-07-30,3,2,5,3,7,21,528
2026-08-01,1,0,3,1,1,4,93
2026-08-02,1,0,1,1,1,2,8
2026-08-04,3,2,5,3,5,12,60
2026-08-05,3,2,4,2,3,12,107
2026-08-06,1,0,2,2,3,7,4
2026-08-09,1,0,1,1,1,2,30
2026-08-10,1,0,1,1,1,2,3
2026-08-11,2,2,2,0,2,6,0
2026-08-12,3,2,3,1,3,8,20
2026-08-13,1,0,3,2,4,11,44
2026-08-14,1,0,1,1,1,1,0
2026-08-15,2,1,2,0,1,5,0
2026-08-17,1,0,1,1,2,4,0
2026-08-19,2,0,2,2,2,7,109
2026-08-20,1,0,2,1,1,4,4
