date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-29,2,0,2,2,2,5,21
2026-07-30,2,1,3,3,5,17,268
2026-08-05,1,0,1,1,1,3,254
2026-08-10,1,0,2,2,1,3,9
2026-08-13,4,2,4,2,4,12,7
2026-08-15,1,1,1,0,1,3,0
2026-08-17,1,0,1,1,1,3,0
2026-08-18,3,0,4,3,17,45,174
2026-08-19,8,6,10,5,15,55,485
2026-08-20,2,2,4,1,4,14,87
2026-08-24,9,5,11,5,11,36,208
2026-08-25,11,6,17,9,22,84,580
2026-08-26,15,10,16,13,24,82,230
2026-08-27,276,269,299,123,318,1301,7249
2026-08-28,285,275,344,136,373,1483,10049
2026-08-29,84,80,113,37,127,461,1894
2026-08-30,62,57,92,31,98,353,2534
2026-08-31,67,62,93,35,104,386,2085
2026-09-01,52,46,83,27,99,364,3484
2026-09-02,25,17,46,9,40,159,478
2026-09-03,16,8,31,6,29,97,532
2026-09-04,14,4,23,6,24,81,264
2026-09-05,3,1,11,2,9,33,28
2026-09-06,4,3,10,1,10,31,12
2026-09-07,4,3,9,3,9,29,61
2026-09-08,19,17,24,12,23,99,912
2026-09-09,7,4,14,3,12,46,40
2026-09-10,9,5,27,8,34,113,583
2026-09-11,6,5,12,4,11,39,66
2026-09-12,6,6,10,1,10,35,19
2026-09-13,2,1,6,0,5,18,0
2026-09-14,4,1,5,2,4,17,9
2026-09-15,10,5,13,4,12,42,9
2026-09-16,14,10,17,8,16,68,892
2026-09-17,5,0,7,4,7,23,12
2026-09-18,7,4,11,4,9,37,356
2026-09-19,1,1,1,0,1,3,0
2026-09-20,1,0,1,0,1,4,2
2026-09-21,5,0,9,3,7,28,40
2026-09-22,6,3,9,0,8,29,0
2026-09-23,4,3,6,1,5,21,55
