date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-01,1,0,1,1,1,3,19
2026-07-06,1,0,1,1,1,5,21
2026-07-10,4,1,7,3,5,23,36
2026-07-14,1,0,2,1,3,11,23
2026-07-15,1,0,5,4,17,56,283
2026-07-16,4,1,8,5,8,43,384
2026-07-17,2,0,6,5,11,41,258
2026-07-18,2,1,2,1,3,15,23
2026-07-20,2,0,3,2,4,22,62
2026-07-21,2,1,3,2,3,15,110
2026-07-22,2,0,3,3,8,28,137
2026-07-23,5,4,6,3,5,62,450
2026-07-26,0,0,2,1,1,24,0
2026-07-27,5,3,8,5,9,49,98
2026-07-28,1,1,2,1,2,25,349
2026-07-29,2,0,3,3,5,29,109
2026-07-30,2,1,2,1,1,7,23
2026-07-31,1,1,1,1,1,7,6
2026-08-03,1,0,2,2,16,90,133
2026-08-04,3,1,14,10,26,200,1271
2026-08-05,3,0,8,4,9,54,204
2026-08-06,2,0,2,2,3,7,0
2026-08-07,4,0,8,4,9,54,127
2026-08-09,1,0,1,0,1,6,10
20260701,1,0,1,1,1,3,19
20260706,1,0,1,1,1,5,21
20260710,4,1,7,3,5,23,36
20260714,1,0,2,1,3,11,23
20260715,1,0,5,4,17,56,283
20260716,4,1,8,5,8,43,384
20260717,2,0,6,5,11,41,258
20260718,2,1,2,1,3,15,23
20260720,2,0,3,2,4,22,62
20260721,2,1,3,2,3,15,110
20260722,2,0,3,3,8,28,137
20260723,5,4,6,3,5,62,450
20260726,0,0,2,1,1,24,0
20260727,6,3,12,9,14,79,238
